station_id,station_name,network,latitude,longitude,observed_in_sample,observed_variable_count,observed_variables
LAND::MH::agrmet::5e7f0458de15,Carpineta,agrmet,44.08903,12.27459,False,0,
LAND::MH::agrmet::961d46e49b22,S. Pietro in Vincoli,agrmet,44.31392,12.1602,False,0,
LAND::MH::agrmet::a555f8e2069e,Vergiano,agrmet,44.03456,12.5005,False,0,
LAND::MH::arpafvg::ed01dbfad1d3,Cervignano del Friuli,arpafvg,45.84949,13.33702,False,0,
LAND::MH::arpafvg::2a95fdd8e55a,Doberdo',arpafvg,45.84298,13.5473,False,0,
LAND::MH::arpafvg::97ea1f2362a7,Fossalon,arpafvg,45.71477,13.45886,False,0,
LAND::MH::arpafvg::0ea49cd656d2,Gorgo,arpafvg,45.73623,13.0219,False,0,
LAND::MH::arpafvg::3defec6409f9,Grado Marea,arpafvg,45.68316,13.38343,False,0,
LAND::MH::arpafvg::46e0ccaf6b2b,Grado Meteo,arpafvg,45.68035,13.37329,False,0,
LAND::MH::arpafvg::d6f17e8d87f1,Lignano Sabbiadoro,arpafvg,45.70191,13.14708,False,0,
LAND::MH::arpafvg::9c98297a8a34,Lignano Sabbiadoro PCR,arpafvg,45.68652,13.12113,False,0,
LAND::MH::arpafvg::6aeb0d993d80,Monfalcone,arpafvg,45.78141,13.54884,False,0,
LAND::MH::arpafvg::ce54e92dd8fa,Monfalcone pluvio,arpafvg,45.79651,13.51151,False,0,
LAND::MH::arpafvg::ccc940f24080,Muggia,arpafvg,45.61048,13.75263,False,0,
LAND::MH::arpafvg::e4312ac52f52,Muggia TP,arpafvg,45.60064,13.77578,False,0,
LAND::MH::arpafvg::456d8f8fed63,Palazzolo dello Stella,arpafvg,45.8057,13.0526,False,0,
LAND::MH::arpafvg::148491e3f8c0,Prosecco,arpafvg,45.70394,13.75672,False,0,
LAND::MH::arpafvg::25423d97fda4,San Lorenzo,arpafvg,45.76609,13.40485,False,0,
LAND::MH::arpafvg::8cdacf6d0706,San Pelagio,arpafvg,45.76547,13.6868,False,0,
LAND::MH::arpafvg::92a4d4785303,Sgonico-Zgonik,arpafvg,45.738,13.74206,False,0,
LAND::MH::arpafvg::24b2d0557d94,Torviscosa,arpafvg,45.81882,13.27557,False,0,
LAND::MH::arpafvg::a326e4777fbc,Trieste Cattinara,arpafvg,45.63543,13.83317,False,0,
LAND::MH::arpafvg::9fdbb9d7b23e,Trieste Ist. Nautico,arpafvg,45.64739,13.76454,False,0,
LAND::MH::arpafvg::dba70820e0fe,Trieste molo F.lli Bandiera,arpafvg,45.65,13.75224,False,0,
LAND::MH::arpafvg::62f728ca0bdb,Zavattina T.Cormor,arpafvg,45.8336,13.15991,False,0,
LAND::MH::boa::6b202997b3d0,Calipso,boa,44.42867,12.52183,False,0,
LAND::MH::boa::a126d939a199,Cattolica Porto,boa,43.97027,12.75067,False,0,
