station_id,station_name,network,latitude,longitude,elevation_m,selected_for_project,variable_count,variables
MH::dpcn-marche::006ea0f88bf6,Baraccola,dpcn-marche,43.57445,13.52388,-1.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::010b8f07c3bf,Villa Potenza,dpcn-marche,43.32726,13.42604,90.0,True,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::01a1404b93e9,Capodacqua,dpcn-marche,42.73848,13.23818,-1.0,False,2,B12101|B13011
MH::dpcn-marche::068def7776a2,Mercatale,dpcn-marche,43.76715,12.4639,0.0,False,1,B13215
MH::dpcn-marche::07a2b348ae66,Piobbico,dpcn-marche,43.58673,12.5152,0.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::08468488cee2,Cagli Civita,dpcn-marche,43.5468,12.64387,0.0,False,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::087707281b7c,San Vettore,dpcn-marche,43.39968,13.19107,259.0,False,1,B13215
MH::dpcn-marche::0c15648d2522,Porta Cartara,dpcn-marche,42.84925,13.57102,0.0,False,1,B13215
MH::dpcn-marche::0dc29a9737d7,Valmir,dpcn-marche,43.0413,13.67875,-1.0,True,1,B13215
MH::dpcn-marche::0f999c31c526,Visso,dpcn-marche,42.932,13.08147,704.0,False,1,B13215
MH::dpcn-marche::0fbd420bcc45,Fonte Avellana,dpcn-marche,43.4711,12.7264,703.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::101b7b974c9d,Pianello di Ostra,dpcn-marche,43.62458,13.12703,0.0,True,1,B13215
MH::dpcn-marche::10b908b4b6b6,Piagge,dpcn-marche,43.7375,12.96922,-1.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::13c1a83002d2,Svarchi,dpcn-marche,43.47547,13.59435,-1.0,True,3,B12101|B13011|B13215
MH::dpcn-marche::14c81a63867f,Bronzo,dpcn-marche,43.80855,12.51255,189.0,False,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::16763308e8b4,Cesane Foresta,dpcn-marche,43.6926,12.7675,-1.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::16e1b1cf6826,Arcevia,dpcn-marche,43.4975,12.9367,565.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::1773741d3786,Gallo,dpcn-marche,43.78148,12.70724,132.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::1872f8fbf216,Pievebovigliana,dpcn-marche,43.07257,13.0869,-1.0,False,2,B12101|B13011
MH::dpcn-marche::197dbd7411e6,Sibilla,dpcn-marche,42.895,13.27,1676.0,False,6,B10004|B11001|B11002|B12101|B13003|B13013
MH::dpcn-marche::1d28cc35dfb7,Ete Vivo,dpcn-marche,43.1358,13.7131,41.0,True,3,B12101|B13003|B13215
MH::dpcn-marche::1d81d7d77cab,Illice,dpcn-marche,42.90522,13.40683,0.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::1e201ff6d532,Agugliano,dpcn-marche,43.5433,13.3806,141.0,True,1,B13011
MH::dpcn-marche::1f8f9914ac92,Fabriano,dpcn-marche,43.33846,12.96607,251.0,False,1,B13215
MH::dpcn-marche::226acc8a69ec,Cantiano,dpcn-marche,43.46707,12.64052,-1.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::227342b8cd43,Sant Angelo in Pontano,dpcn-marche,43.104,13.399,-1.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::26b2974cd07d,Ripatransone,dpcn-marche,42.99213,13.785,-1.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::277de999b230,Colleponi,dpcn-marche,43.43372,12.90434,245.0,False,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::27ce6c7a74d7,Loro Piceno,dpcn-marche,43.16,13.4036,399.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::28f62c68c686,Passatempo,dpcn-marche,43.44728,13.4492,62.0,True,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::296e8d02b50d,Ponte Tavola,dpcn-marche,42.90445,13.13805,-1.0,False,1,B13215
