station_id,station_name,network,latitude,longitude,selected_for_project,bufr_code,canonical_variable,observation_count,unique_timestamp_count,first_time,last_time,median_interval_seconds
MH::agrmet::03e421c0cb98,Zola Predosa,agrmet,44.49614,11.20006,False,B12101,air_temperature,1647,345,2026-08-04T10:00:00Z,2026-08-08T00:00:00Z,900.0
MH::agrmet::03e421c0cb98,Zola Predosa,agrmet,44.49614,11.20006,False,B13003,relative_humidity,1647,345,2026-08-04T10:00:00Z,2026-08-08T00:00:00Z,900.0
MH::agrmet::03e421c0cb98,Zola Predosa,agrmet,44.49614,11.20006,False,B13011,precipitation_amount,437,345,2026-08-04T10:00:00Z,2026-08-08T00:00:00Z,900.0
MH::agrmet::1cf49d1cc96e,Castellazzo Villanova d'Arda,agrmet,45.00253,10.00494,False,B12101,air_temperature,3203,671,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z,900.0
MH::agrmet::1cf49d1cc96e,Castellazzo Villanova d'Arda,agrmet,45.00253,10.00494,False,B13003,relative_humidity,3201,671,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z,900.0
MH::agrmet::1cf49d1cc96e,Castellazzo Villanova d'Arda,agrmet,45.00253,10.00494,False,B13011,precipitation_amount,857,673,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z,900.0
MH::agrmet::1df76f4d3815,Pieve di Cusignano,agrmet,44.78042,10.03873,False,B12101,air_temperature,3068,644,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z,900.0
MH::agrmet::1df76f4d3815,Pieve di Cusignano,agrmet,44.78042,10.03873,False,B13003,relative_humidity,3064,644,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z,900.0
MH::agrmet::1df76f4d3815,Pieve di Cusignano,agrmet,44.78042,10.03873,False,B13011,precipitation_amount,857,673,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z,900.0
MH::agrmet::2299c998b431,Carpineti,agrmet,44.47562,10.50865,False,B12101,air_temperature,3223,673,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z,900.0
MH::agrmet::2299c998b431,Carpineti,agrmet,44.47562,10.50865,False,B13003,relative_humidity,3223,673,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z,900.0
MH::agrmet::2299c998b431,Carpineti,agrmet,44.47562,10.50865,False,B13011,precipitation_amount,857,673,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z,900.0
MH::agrmet::3358ae405c51,Padulle Sala Bolognese,agrmet,44.62775,11.29056,False,B12101,air_temperature,3223,673,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z,900.0
MH::agrmet::3358ae405c51,Padulle Sala Bolognese,agrmet,44.62775,11.29056,False,B13003,relative_humidity,3223,673,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z,900.0
