bufr_code,timerange_indicator,timerange_start_seconds,timerange_end_seconds,aggregation_seconds,observation_count
B10004,254,0,0,,18784
B11001,200,0,900,,3459
B11001,200,0,3600,,851
B11001,201,0,86400,,152
B11001,254,0,0,,330136
B11002,0,0,900,,3459
B11002,0,0,3600,,854
B11002,0,0,86400,,153
B11002,200,0,900,,3459
B11002,200,0,3600,,851
B11002,254,0,0,,343175
B11041,2,0,900,900,3459
B11041,2,0,3600,3600,42620
B11041,2,0,86400,86400,152
B11043,205,0,900,,2786
B11043,205,0,3600,,2195
B11209,2,0,3600,3600,854
B11210,205,0,900,,2786
B11211,9,0,900,,2786
B11212,9,0,900,,2786
B11213,9,0,900,,2786
B11214,9,0,900,,2786
B11215,9,0,900,,2786
B11216,9,0,900,,2786
B12101,0,0,900,,20511
B12101,0,0,3600,,5250
B12101,0,0,86400,,856
B12101,2,0,900,900,20504
B12101,2,0,3600,3600,5243
B12101,2,0,86400,86400,856
B12101,3,0,900,,19846
B12101,3,0,3600,,5087
B12101,3,0,86400,,856
B12101,254,0,0,,1518914
B13003,0,0,900,,20507
B13003,0,0,3600,,5246
B13003,0,0,86400,,568
B13003,2,0,900,900,20497
B13003,2,0,3600,3600,5237
B13003,2,0,86400,86400,568
B13003,3,0,900,,19844
B13003,3,0,3600,,5085
B13003,3,0,86400,,568
B13003,254,0,0,,828960
B13011,1,0,60,60,1693846
B13011,1,0,300,300,226171
B13011,1,0,600,600,1009
B13011,1,0,900,900,179269
B13011,1,0,1800,1800,40449
B13011,1,0,3600,3600,49900
B13011,1,0,86400,86400,2381
B13013,254,0,0,,10599
B13080,254,0,0,,1304
B13081,254,0,0,,169
B13082,254,0,0,,674
B13083,254,0,0,,1272
B13084,254,0,0,,115
B13215,254,0,0,,267329
B13231,254,0,0,,1272
B14198,0,0,900,,3162
B14198,0,0,3600,,759
B14198,0,0,86400,,79
B22001,0,0,1800,,673
B22004,254,0,0,,1009
B22032,254,0,0,,1009
B22037,0,0,600,,3027
B22037,254,0,0,,2018
B22043,254,0,0,,2650
B22062,254,0,0,,1304
B22070,0,0,1800,,673
B22071,205,0,1800,,673
B22073,2,0,1800,1800,336
B22074,0,0,1800,,673
B22196,205,0,1800,,336
