bufr_code,canonical_variable,canonical_unit,observation_count,station_count,selected_station_count,first_time,last_time
B10004,pressure,hPa,18784,59,13,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B11001,wind_direction,degree,334598,194,41,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B11002,wind_speed,m s-1,351951,197,43,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B11041,wind_gust_max,m s-1,46231,106,21,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B11043,wind_gust_direction_max,degree,4981,18,4,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B11209,unmapped_B11209,,854,6,2,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B11210,unmapped_B11210,,2786,5,1,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B11211,unmapped_B11211,,2786,5,1,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B11212,unmapped_B11212,,2786,5,1,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B11213,unmapped_B11213,,2786,5,1,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B11214,unmapped_B11214,,2786,5,1,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B11215,unmapped_B11215,,2786,5,1,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B11216,unmapped_B11216,,2786,5,1,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B12101,air_temperature,degree_Celsius,1597923,597,132,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B13003,relative_humidity,%,907080,387,88,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B13011,precipitation_amount,mm,2193025,701,155,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B13013,total_snow_depth,m,10599,32,1,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B13080,unmapped_B13080,,1304,8,7,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B13081,unmapped_B13081,,169,1,1,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B13082,unmapped_B13082,,674,2,0,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B13083,unmapped_B13083,,1272,8,7,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B13084,unmapped_B13084,,115,1,1,2026-08-03T06:00:00Z,2026-08-08T00:00:00Z
B13215,river_level,m,267329,360,74,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B13231,unmapped_B13231,,1272,8,7,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B14198,global_visible_irradiance_downward,W m-2,4000,11,2,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B22001,unmapped_B22001,,673,2,2,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B22004,unmapped_B22004,,1009,1,1,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B22032,unmapped_B22032,,1009,1,1,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B22037,unmapped_B22037,,5045,3,3,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B22043,unmapped_B22043,,2650,10,9,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B22062,unmapped_B22062,,1304,8,7,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B22070,unmapped_B22070,,673,2,2,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B22071,unmapped_B22071,,673,2,2,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B22073,unmapped_B22073,,336,1,1,2026-08-01T00:30:00Z,2026-08-08T00:00:00Z
B22074,unmapped_B22074,,673,2,2,2026-08-01T00:00:00Z,2026-08-08T00:00:00Z
B22196,unmapped_B22196,,336,1,1,2026-08-01T00:30:00Z,2026-08-08T00:00:00Z
