station_id,station_name,lat,lon,network,coordinate_source,catalog_status,observed_snapshots,variables,license,notes
MH::dpcn-calabria::9de929349ee7,Salica,39.01389,17.12778,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::82ecadcacd3d,Albi,39.03028,16.59639,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::cb5120749be7,Nocera Terinese SS 106,39.0325,16.10139,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::853cd2f3a1ee,Cutro,39.03667,17.01528,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::0d9c7f332733,Ponte Forcosa,39.04139,17.0775,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::33c8d2819278,Petrona',39.04333,16.75889,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::11fd140b0121,Decollatura,39.04917,16.335,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::7109f7996bd4,Serrarossa,39.06889,16.89056,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011|B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::e2ac78f9d190,Crotone P.te S.Fran.,39.06917,17.10667,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::7c5415099aae,Papanice,39.07222,17.02778,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::fcc68f555ce0,Crotone Molo Giunti,39.08221,17.13555,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B11001|B11002|B11041|B12101|B13011|B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::a09453816d27,Martirano,39.08306,16.23667,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::c1d53d5fc49f,Persico,39.09361,16.22306,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::a3bc845cd540,S.Mauro Marchesato,39.10278,16.92778,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::7c2848642be9,Petilia Policastro,39.11444,16.76639,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B10004|B11001|B11002|B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::cab8780b8f04,Altilia,39.12944,16.25528,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B10004|B11001|B11002|B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::7840786ceb66,Pagliarelle,39.14194,16.74889,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::2644b74e0e20,Amantea,39.15,16.07806,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::ade5d7074c94,Cotronei,39.15972,16.78306,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::ca15e75791e1,Spineto,39.16333,16.54,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::205d9996fcb3,Parenti,39.16361,16.40556,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::f7b5861d7078,Rocca di Neto,39.17333,17.02611,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::57b7c17ef2a2,Belsito,39.17528,16.28083,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B10004|B11001|B11002|B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::5705f883b896,Rogliano,39.18361,16.32583,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::9028cf3443ce,Domanico,39.21667,16.20278,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::9fddbe65669c,Nocelle-Arvo,39.24722,16.54444,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B11001|B11002|B11041|B12101|B13003|B13011|B13013|B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::078fcb894787,Botte Donato,39.25,16.43583,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B10004|B11001|B11002|B11041|B12101|B13003,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::e2642671b696,Cosenza Crati,39.28731,16.26483,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B10004|B12101|B13003|B13011|B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
