station_id,station_name,latitude,longitude,station_type,network,coordinate_source,pretraining_value_source,operational_value_source,enabled,profile_land_only,profile_sea_only,profile_dpc_plus_sea,dist_to_coast_km,notes
LEGACY::PUG_latest::PUG_SANTA_MARIA_DI_LEUCA,Puglia Virtual - Santa Maria di Leuca,39.8,18.36,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_CASTRO,Puglia Virtual - Castro,40.0,18.43,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_SANTA_CESAREA_TERME,Puglia Virtual - Santa Cesarea Terme,40.03,18.46,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_OTRANTO,Puglia Virtual - Otranto,40.14,18.49,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_TORRE_DELL_ORSO,Puglia Virtual - Torre dell Orso,40.27,18.42,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_SAN_CATALDO_LECCE,Puglia Virtual - San Cataldo Lecce,40.38,18.3,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_CASALABATE,Puglia Virtual - Casalabate,40.51,18.12,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_TORRE_SAN_GENNARO,Puglia Virtual - Torre San Gennaro,40.54,18.06,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_BRINDISI,Puglia Virtual - Brindisi,40.63,17.94,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_TORRE_GUACETO,Puglia Virtual - Torre Guaceto,40.71,17.66,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_ROSA_MARINA,Puglia Virtual - Rosa Marina,40.78,17.58,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_TORRE_CANNE,Puglia Virtual - Torre Canne,40.84,17.47,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_MONOPOLI,Puglia Virtual - Monopoli,40.95,17.3,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_POLIGNANO_A_MARE,Puglia Virtual - Polignano a Mare,40.99,17.22,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_MOLA_DI_BARI,Puglia Virtual - Mola di Bari,41.06,17.08,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
