window,analysis_time,input_valid_fraction,future_target_cells,model_rmse_all_available
0,2026-08-01T11:00,0.3115062761506276,2145,2.3937411308288574
1,2026-08-01T12:00,0.3179916317991632,2155,2.537593364715576
2,2026-08-01T13:00,0.31757322175732217,2158,2.3629753589630127
3,2026-08-01T14:00,0.3175034867503487,2160,2.057368516921997
4,2026-08-01T15:00,0.3175034867503487,2157,1.7143385410308838
5,2026-08-01T16:00,0.31771269177126915,2156,1.5209497213363647
6,2026-08-01T17:00,0.3178521617852162,2150,1.6809754371643066
7,2026-08-01T18:00,0.3174337517433752,2152,1.8981157541275024
8,2026-08-01T19:00,0.3174337517433752,2153,1.8790189027786255
9,2026-08-01T20:00,0.3174337517433752,2154,1.9310704469680786
10,2026-08-01T21:00,0.3172942817294282,2156,2.008537530899048
11,2026-08-01T22:00,0.31771269177126915,2151,2.112705707550049
12,2026-08-01T23:00,0.31708507670850766,2162,2.15694522857666
13,2026-08-02T00:00,0.3179218967921897,2162,2.114824056625366
14,2026-08-02T01:00,0.31820083682008365,2163,2.2365550994873047
15,2026-08-02T02:00,0.3184100418410042,2163,2.541686773300171
16,2026-08-02T03:00,0.3183403068340307,2161,2.9364593029022217
17,2026-08-02T04:00,0.3179218967921897,2165,3.4089548587799072
18,2026-08-02T05:00,0.3182705718270572,2160,3.2644152641296387
19,2026-08-02T06:00,0.3184100418410042,2139,2.399338960647583
20,2026-08-02T07:00,0.3185495118549512,2133,2.121185779571533
21,2026-08-02T08:00,0.31861924686192467,2130,2.114565372467041
22,2026-08-02T09:00,0.31861924686192467,2130,2.1256654262542725
23,2026-08-02T10:00,0.3185495118549512,2122,2.208735704421997
24,2026-08-02T11:00,0.3189679218967922,2123,2.30596661567688
25,2026-08-02T12:00,0.3175034867503487,2142,2.2632124423980713
26,2026-08-02T13:00,0.31708507670850766,2144,2.101529598236084
27,2026-08-02T14:00,0.3168758716875872,2144,1.786012887954712
28,2026-08-02T15:00,0.31673640167364014,2145,1.6266508102416992
29,2026-08-02T16:00,0.3164574616457462,2150,1.5435863733291626
30,2026-08-02T17:00,0.31617852161785215,2143,1.716723084449768
31,2026-08-02T18:00,0.31603905160390516,2146,1.8672306537628174
32,2026-08-02T19:00,0.31576011157601114,2151,1.8571274280548096
33,2026-08-02T20:00,0.31555090655509066,2147,1.8804364204406738
34,2026-08-02T21:00,0.31562064156206415,2147,1.8362996578216553
35,2026-08-02T22:00,0.3154114365411437,2146,1.8934482336044312
36,2026-08-02T23:00,0.31499302649930266,2153,1.8871877193450928
37,2026-08-03T00:00,0.31652719665271967,2154,1.8792959451675415
38,2026-08-03T01:00,0.31708507670850766,2147,2.080739974975586
39,2026-08-03T02:00,0.3168061366806137,2149,2.477125883102417
40,2026-08-03T03:00,0.3168758716875872,2147,2.9497413635253906
41,2026-08-03T04:00,0.31715481171548116,2148,3.4858622550964355
42,2026-08-03T05:00,0.31715481171548116,2143,3.4466350078582764
43,2026-08-03T06:00,0.3174337517433752,2122,2.351641893386841
44,2026-08-03T07:00,0.3172942817294282,2121,1.831859827041626
45,2026-08-03T08:00,0.31715481171548116,2125,1.706723928451538
46,2026-08-03T09:00,0.31701534170153417,2127,1.7518855333328247
47,2026-08-03T10:00,0.31701534170153417,2125,2.0049405097961426
48,2026-08-03T11:00,0.31715481171548116,2126,2.3289899826049805
49,2026-08-03T12:00,0.31576011157601114,2147,2.4459335803985596
50,2026-08-03T13:00,0.31513249651324965,2147,2.312310218811035
51,2026-08-03T14:00,0.31555090655509066,2141,1.9557040929794312
52,2026-08-03T15:00,0.31555090655509066,2137,1.6055759191513062
53,2026-08-03T16:00,0.31548117154811717,2140,1.3999810218811035
54,2026-08-03T17:00,0.31520223152022314,2138,1.4955822229385376
55,2026-08-03T18:00,0.31520223152022314,2133,1.684261441230774
56,2026-08-03T19:00,0.31513249651324965,2136,1.6615715026855469
57,2026-08-03T20:00,0.31499302649930266,2143,1.6217150688171387
58,2026-08-03T21:00,0.3148535564853556,2142,1.6287847757339478
59,2026-08-03T22:00,0.31492329149232917,2140,1.6769729852676392
60,2026-08-03T23:00,0.3148535564853556,2145,1.659119725227356
61,2026-08-04T00:00,0.31596931659693167,2152,1.6989704370498657
62,2026-08-04T01:00,0.31624825662482564,2152,1.9245303869247437
63,2026-08-04T02:00,0.3163179916317992,2146,2.307631492614746
64,2026-08-04T03:00,0.31596931659693167,2106,2.803205728530884
65,2026-08-04T04:00,0.31603905160390516,2028,3.265120267868042
66,2026-08-04T05:00,0.31624825662482564,1988,3.337862491607666
67,2026-08-04T06:00,0.3163877266387727,1970,2.2574961185455322
68,2026-08-04T07:00,0.31659693165969316,1965,1.845251441001892
69,2026-08-04T08:00,0.31666666666666665,1965,1.7997466325759888
70,2026-08-04T09:00,0.3138075313807531,2005,2.051668405532837
71,2026-08-04T10:00,0.3082287308228731,2077,2.421657085418701
72,2026-08-04T11:00,0.30578800557880054,2112,2.320244073867798
73,2026-08-04T12:00,0.30502092050209206,2122,2.469541549682617
74,2026-08-04T13:00,0.30467224546722455,2127,2.3219897747039795
75,2026-08-04T14:00,0.30425383542538353,2127,2.076826333999634
76,2026-08-04T15:00,0.30425383542538353,2127,1.779955267906189
77,2026-08-04T16:00,0.3038354253835425,2129,1.4680144786834717
78,2026-08-04T17:00,0.30348675034867506,2125,1.3864566087722778
79,2026-08-04T18:00,0.302928870292887,2131,1.500495433807373
80,2026-08-04T19:00,0.302928870292887,2134,1.5041007995605469
81,2026-08-04T20:00,0.302928870292887,2141,1.5310906171798706
82,2026-08-04T21:00,0.30571827057182704,2149,1.5665268898010254
83,2026-08-04T22:00,0.3108786610878661,2158,1.6530643701553345
84,2026-08-04T23:00,0.31304044630404465,2168,1.6868023872375488
85,2026-08-05T00:00,0.31415620641562064,2165,1.7100658416748047
86,2026-08-05T01:00,0.31471408647140864,2162,1.8126121759414673
87,2026-08-05T02:00,0.31520223152022314,2152,2.1036667823791504
88,2026-08-05T03:00,0.31576011157601114,2144,2.5551090240478516
89,2026-08-05T04:00,0.31652719665271967,2136,3.1316261291503906
90,2026-08-05T05:00,0.3169456066945607,2127,3.313931941986084
91,2026-08-05T06:00,0.31715481171548116,2110,2.22200083732605
92,2026-08-05T07:00,0.31715481171548116,2089,1.7821208238601685
93,2026-08-05T08:00,0.3169456066945607,2094,1.706211805343628
94,2026-08-05T09:00,0.3169456066945607,2099,1.8338923454284668
95,2026-08-05T10:00,0.31701534170153417,2098,2.0510852336883545
96,2026-08-05T11:00,0.31708507670850766,2104,2.298006057739258
97,2026-08-05T12:00,0.31569037656903765,2120,2.3628599643707275
98,2026-08-05T13:00,0.31401673640167366,2137,2.1807217597961426
99,2026-08-05T14:00,0.31366806136680614,2138,1.9040918350219727
100,2026-08-05T15:00,0.31345885634588566,2136,1.5898725986480713
101,2026-08-05T16:00,0.3128312412831241,2140,1.3233174085617065
