method,region,variable,mae,rmse,sample_windows
v9_2_final16,full,msl,0.8308523970040661,1.0513261517721892,152
v9_2_final16,full,u10,1.0516971516186124,1.356443604140839,152
v9_2_final16,full,v10,1.0314048922445935,1.3778617825242958,152
v9_2_final16,full,t2m,1.5916644462954679,2.1983913006352758,152
v9_2_final16,full,tp,0.03263580428266748,0.12220161038164311,152
v9_2_final16,land,msl,0.934434880817447,1.1757597333920273,152
v9_2_final16,land,u10,0.9167675312225734,1.1720139022607203,152
v9_2_final16,land,v10,0.8747359351205535,1.1300578103780088,152
v9_2_final16,land,t2m,2.204640273752833,2.773278870789069,152
v9_2_final16,land,tp,0.04628296158124347,0.15996316855983347,152
v9_2_final16,sea,msl,0.6936056059513366,0.8591257273081214,152
v9_2_final16,sea,u10,1.2304788986433641,1.5677425749071459,152
v9_2_final16,sea,v10,1.2389912604339468,1.6498345585823881,152
v9_2_final16,sea,t2m,0.7794714749144596,1.0226796792272466,152
v9_2_final16,sea,tp,0.01455332086205429,0.02855490862156259,152
input_compatible_reconstruction_persistence,full,msl,2.4978955177223,2.9453703070044517,152
input_compatible_reconstruction_persistence,full,u10,1.7167749194747854,2.1575259260274096,152
input_compatible_reconstruction_persistence,full,v10,1.352963188264824,1.7588268052147968,152
input_compatible_reconstruction_persistence,full,t2m,15.716410138920795,16.57867956875396,152
input_compatible_reconstruction_persistence,full,tp,0.1760670862853425,0.22149159002756186,152
input_compatible_reconstruction_persistence,land,msl,2.510212609922239,2.952916031720096,152
input_compatible_reconstruction_persistence,land,u10,1.5713550353212764,1.9726296076113252,152
input_compatible_reconstruction_persistence,land,v10,1.0798912335675181,1.3982790597849086,152
input_compatible_reconstruction_persistence,land,t2m,18.04327554125169,18.94259204331985,152
input_compatible_reconstruction_persistence,land,tp,0.15117109263437878,0.2124184922353162,152
input_compatible_reconstruction_persistence,sea,msl,2.4815753705573806,2.935342343875832,152
input_compatible_reconstruction_persistence,sea,u10,1.9094562659781846,2.380494718277932,152
input_compatible_reconstruction_persistence,sea,v10,1.7147835282387547,2.145157928453444,152
input_compatible_reconstruction_persistence,sea,t2m,12.63331348083236,12.790365773402351,152
input_compatible_reconstruction_persistence,sea,tp,0.20905427787286948,0.23296980139153017,152
dense_era5t_persistence,full,msl,0.6461775864230221,0.8439440727383127,152
dense_era5t_persistence,full,u10,1.0502236589304619,1.464113083030819,152
dense_era5t_persistence,full,v10,0.9380553486240442,1.3203783885912113,152
dense_era5t_persistence,full,t2m,2.408396043970618,3.9050493203053516,152
dense_era5t_persistence,full,tp,0.017485835846564043,0.1543342116590707,152
dense_era5t_persistence,land,msl,0.6959529525556177,0.9155755444200224,152
dense_era5t_persistence,land,u10,0.8365829190891917,1.152405853539446,152
dense_era5t_persistence,land,v10,0.753686353411354,1.0520534147313598,152
dense_era5t_persistence,land,t2m,3.8244329607887426,5.11389561225219,152
dense_era5t_persistence,land,tp,0.029861118098198677,0.20275531764625168,152
dense_era5t_persistence,sea,msl,0.5802252262973329,0.7384054441162564,152
dense_era5t_persistence,sea,u10,1.333297639220145,1.7956283150576573,152
dense_era5t_persistence,sea,v10,1.1823442672808584,1.608375319598335,152
dense_era5t_persistence,sea,t2m,0.5321471291866029,0.8964227015471182,152
dense_era5t_persistence,sea,tp,0.0010885868631481555,0.030148154350879423,152
v9_1_frozen,full,msl,0.8557451942960533,1.1167124710059184,152
v9_1_frozen,full,u10,1.0233076608065024,1.3263767579799344,152
v9_1_frozen,full,v10,1.0432215662485385,1.3909192238416788,152
v9_1_frozen,full,t2m,1.5263600429442932,2.0937614566543847,152
v9_1_frozen,full,tp,0.02865428156887357,0.1202730419615314,152
v9_1_frozen,land,msl,1.0107238366377063,1.2883097611327121,152
v9_1_frozen,land,u10,0.8717839793824841,1.1215551453290147,152
v9_1_frozen,land,v10,0.8832810071971373,1.1460617939238682,152
v9_1_frozen,land,t2m,2.0608199061044794,2.6140155992312986,152
v9_1_frozen,land,tp,0.04263558846335256,0.1579553263865628,152
v9_1_frozen,sea,msl,0.6503984931933633,0.8367947618193576,152
v9_1_frozen,sea,u10,1.2240765386933266,1.5567967774361984,152
v9_1_frozen,sea,v10,1.255142806991645,1.6606458083633582,152
v9_1_frozen,sea,t2m,0.8182007242570464,1.067048899597,152
v9_1_frozen,sea,tp,0.010129049933688905,0.02395689765669334,152
