method,lead_hour,region,variable,mae,rmse,sample_windows
v9_2_final16,1,full,msl,0.7873726560358416,0.9973468937868664,152
v9_2_final16,1,full,u10,1.0201467371940025,1.3167071022955528,152
v9_2_final16,1,full,v10,1.024416949841185,1.3720841264125898,152
v9_2_final16,1,full,t2m,1.5859809745736173,2.2049340008274383,152
v9_2_final16,1,full,tp,0.031624973573121426,0.12220017821638035,152
v9_2_final16,1,land,msl,0.8675752753243718,1.0931442097733746,152
v9_2_final16,1,land,u10,0.8957291321344341,1.1452058945096177,152
v9_2_final16,1,land,v10,0.853964196975275,1.0973279609327542,152
v9_2_final16,1,land,t2m,2.195842753423512,2.7855374688717864,152
v9_2_final16,1,land,tp,0.04322053664616572,0.1595809815413709,152
v9_2_final16,1,sea,msl,0.681104185478539,0.8540209439860209,152
v9_2_final16,1,sea,u10,1.1850000638979303,1.5143184895149109,152
v9_2_final16,1,sea,v10,1.250266847388516,1.6678156552200982,152
v9_2_final16,1,sea,t2m,0.777914117597507,1.0112201870581548,152
v9_2_final16,1,sea,tp,0.016260852501337734,0.031247167161286532,152
v9_2_final16,2,full,msl,0.7842373155901117,0.9867175041220111,152
v9_2_final16,2,full,u10,1.0217377036236523,1.322282690308043,152
v9_2_final16,2,full,v10,1.0044073904129716,1.3411980236902445,152
v9_2_final16,2,full,t2m,1.537851863598734,2.1198135083126535,152
v9_2_final16,2,full,tp,0.03234805171929697,0.1222261732136087,152
v9_2_final16,2,land,msl,0.8590644656659421,1.0802683621019302,152
v9_2_final16,2,land,u10,0.8950213845288287,1.147474325524969,152
v9_2_final16,2,land,v10,0.8478600758606183,1.0922518085146347,152
v9_2_final16,2,land,t2m,2.115002647842689,2.66872455241713,152
v9_2_final16,2,land,tp,0.045486047681512855,0.1598448947029029,152
v9_2_final16,2,sea,msl,0.6850913417396363,0.8469937625670154,152
v9_2_final16,2,sea,u10,1.1896368264242936,1.5233119538282658,152
v9_2_final16,2,sea,v10,1.2118325821948395,1.612914955941745,152
v9_2_final16,2,sea,t2m,0.7731270744754938,1.005421016149253,152
v9_2_final16,2,sea,tp,0.014940207069360932,0.029655686932843907,152
v9_2_final16,3,full,msl,0.8098538235798167,1.0186793706010715,152
v9_2_final16,3,full,u10,1.0346690785390058,1.3388088178118902,152
v9_2_final16,3,full,v10,1.0092742113057191,1.3444302934834877,152
v9_2_final16,3,full,t2m,1.5599534340759005,2.148427405209527,152
v9_2_final16,3,full,tp,0.032753318078013266,0.12189036095737538,152
v9_2_final16,3,land,msl,0.9031411357182958,1.1304851436792684,152
v9_2_final16,3,land,u10,0.9007463859237977,1.154616873196843,152
v9_2_final16,3,land,v10,0.8594754534636735,1.107960689967458,152
v9_2_final16,3,land,t2m,2.1522347344768447,2.7059844172186094,152
v9_2_final16,3,land,tp,0.046549832847603646,0.1596074410224771,152
v9_2_final16,3,sea,msl,0.6862481349963321,0.8481301404263782,152
v9_2_final16,3,sea,u10,1.2121166462541566,1.5494968146577108,152
v9_2_final16,3,sea,v10,1.2077575654464296,1.6049552681317887,152
v9_2_final16,3,sea,t2m,0.7751807110446491,1.0146330744062129,152
v9_2_final16,3,sea,tp,0.014472936008306014,0.028095738820720424,152
v9_2_final16,4,full,msl,0.8429800344542625,1.0659572687362138,152
v9_2_final16,4,full,u10,1.054194484242058,1.357545409893654,152
v9_2_final16,4,full,v10,1.0247268167803465,1.3658570873230862,152
v9_2_final16,4,full,t2m,1.5929690983926292,2.1992793424049037,152
v9_2_final16,4,full,tp,0.03289788231354629,0.12134393955920846,152
v9_2_final16,4,land,msl,0.9596682744216884,1.2032829109823628,152
v9_2_final16,4,land,u10,0.9160798636322356,1.1697057225157066,152
v9_2_final16,4,land,v10,0.8743014754022076,1.129431558013478,152
v9_2_final16,4,land,t2m,2.208120426912541,2.7739710672651356,152
v9_2_final16,4,land,tp,0.047049846443700506,0.1589088431386289,152
v9_2_final16,4,sea,msl,0.6883681164974231,0.8505068797643538,152
v9_2_final16,4,sea,u10,1.237196356550073,1.572237568854593,152
v9_2_final16,4,sea,v10,1.2240403941063807,1.6270369546631975,152
v9_2_final16,4,sea,t2m,0.7778935881037461,1.024629624109561,152
v9_2_final16,4,sea,tp,0.014146529841091948,0.027842244178047735,152
v9_2_final16,5,full,msl,0.8682634640471057,1.0997785457884177,152
