baseline,scope,lead_hour,region,variable,v9_2_rmse,baseline_rmse,rmse_skill,rmse_skill_percent
dense_era5t_persistence,aggregate,,full,msl,1.0513261517721892,0.8439440727383127,-0.24572964694330035,-24.572964694330036
dense_era5t_persistence,aggregate,,full,u10,1.356443604140839,1.464113083030819,0.07353904567746683,7.353904567746683
dense_era5t_persistence,aggregate,,full,v10,1.3778617825242958,1.3203783885912113,-0.04353554589333819,-4.353554589333819
dense_era5t_persistence,aggregate,,full,t2m,2.1983913006352758,3.9050493203053516,0.4370387873965764,43.70387873965764
dense_era5t_persistence,aggregate,,full,tp,0.12220161038164311,0.1543342116590707,0.20820141517559032,20.820141517559033
dense_era5t_persistence,aggregate,,land,msl,1.1757597333920273,0.9155755444200224,-0.2841755555373864,-28.417555553738637
dense_era5t_persistence,aggregate,,land,u10,1.1720139022607203,1.152405853539446,-0.01701488122526551,-1.701488122526551
dense_era5t_persistence,aggregate,,land,v10,1.1300578103780088,1.0520534147313598,-0.07414490039611454,-7.414490039611454
dense_era5t_persistence,aggregate,,land,t2m,2.773278870789069,5.11389561225219,0.4576974031021136,45.76974031021136
dense_era5t_persistence,aggregate,,land,tp,0.15996316855983347,0.20275531764625168,0.21105315304764483,21.10531530476448
dense_era5t_persistence,aggregate,,sea,msl,0.8591257273081214,0.7384054441162564,-0.16348780220106085,-16.348780220106086
dense_era5t_persistence,aggregate,,sea,u10,1.5677425749071459,1.7956283150576573,0.12691142049806337,12.691142049806336
dense_era5t_persistence,aggregate,,sea,v10,1.6498345585823881,1.608375319598335,-0.025777092248845834,-2.5777092248845834
dense_era5t_persistence,aggregate,,sea,t2m,1.0226796792272466,0.8964227015471182,-0.14084535951870025,-14.084535951870025
dense_era5t_persistence,aggregate,,sea,tp,0.02855490862156259,0.030148154350879423,0.05284720619291772,5.284720619291772
dense_era5t_persistence,per_lead,1,full,msl,0.9973468937868664,0.3334832379273913,-1.990695724275104,-199.0695724275104
dense_era5t_persistence,per_lead,1,full,u10,1.3167071022955528,0.634681696056641,-1.074594415557315,-107.4594415557315
dense_era5t_persistence,per_lead,1,full,v10,1.3720841264125898,0.5898248054775458,-1.3262570744234732,-132.6257074423473
dense_era5t_persistence,per_lead,1,full,t2m,2.2049340008274383,1.1852657421552628,-0.860286619621716,-86.02866196217161
dense_era5t_persistence,per_lead,1,full,tp,0.12220017821638035,0.13468963393903136,0.09272766847302061,9.27276684730206
dense_era5t_persistence,per_lead,1,land,msl,1.0931442097733746,0.35651770056859466,-2.0661709307278886,-206.61709307278886
dense_era5t_persistence,per_lead,1,land,u10,1.1452058945096177,0.5171011947711022,-1.2146649555055653,-121.46649555055653
dense_era5t_persistence,per_lead,1,land,v10,1.0973279609327542,0.4836212307012567,-1.2689821936510421,-126.89821936510421
